"","Unique_ID","Codec","Bitrate","Resolution","Packet_Loss","SSIM","VMAF","MOS","sd_OS","fair_better"
"1",1,0,1,1,0,0.971,97.2,2.866666667,0.342803332,0.866666667
"2",2,0,1,1,1,0.975,92.67,2.416666667,0.497167116,0.416666667
"3",3,0,1,1,2,0.961,65.19,2.2,0.403375587,0.2
"4",4,0,1,1,3,0.945,31.4,2,0.450987617,0.1
"5",5,0,1,1,4,0.92,30.37,1.7,0.462124791,0
"6",6,0,1,1,0,0.904,30.04,1.366666667,0.485961101,0
"7",7,0,2,1,0,0.985,94.94,3.116666667,0.323731772,1
"8",8,0,2,1,1,0.945,48.69,2.516666667,0.503939284,0.516666667
"9",9,0,2,1,2,0.937,43.93,2.4,0.494032182,0.4
"10",10,0,2,1,3,0.89,42.75,1.7,0.53042995,0.033333333
"11",11,0,2,1,4,0.884,37.86,1.6,0.527224906,0.016666667
"12",12,0,2,1,5,0.861,30.29,1.333333333,0.475382689,0
"13",13,0,0,1,0,0.985,96.06,3.116666667,0.372425247,0.983333333
"14",14,0,0,1,1,0.981,95.18,2.9,0.543061004,0.8
"15",15,0,0,1,2,0.978,94.46,2.85,0.515028385,0.783333333
"16",16,0,0,1,3,0.964,87,2.083333333,0.561223442,0.2
"17",17,0,0,1,4,0.959,32.35,2.066666667,0.482460736,0.15
"18",18,0,0,1,5,0.922,31.63,1.683333333,0.469101798,0
"19",19,0,1,0,0,0.987,98.2,4.083333333,0.561223442,1
"20",20,0,1,0,1,0.97306,83.04,3.533333333,0.769474103,1
"21",21,0,1,0,2,0.92717,75.912,3.033333333,0.317119807,0.966666667
"22",22,0,1,0,3,0.90666,59.73,2.966666667,0.551320961,0.833333333
"23",23,0,1,0,4,0.8874,58.54,2.216666667,0.490301418,0.25
"24",24,0,1,0,0,0.88612,25.69,1.516666667,0.567231357,0.033333333
"25",25,0,2,0,0,0.94442,94.67,4.233333333,0.563483917,1
"26",26,0,2,0,1,0.91292,89.31,3.6,0.558448213,1
"27",27,0,2,0,2,0.90442,73.24,2.9,0.656131446,0.733333333
"28",28,0,2,0,3,0.86943,66.37,2.65,0.480994732,0.65
"29",29,0,2,0,4,0.81258,61.23,2.466666667,0.503097749,0.466666667
"30",30,0,2,0,5,0.76829,48.22,2.066666667,0.311729276,0.083333333
"31",31,0,0,0,0,0.997,98.32,4.016666667,0.624137823,1
"32",32,0,0,0,1,0.995,97.44,3.7,0.561475055,0.983333333
"33",33,0,0,0,2,0.99124,95.67,3.5,0.504219484,1
"34",34,0,0,0,3,0.98466,94.03,3.15,0.360084736,1
"35",35,0,0,0,4,0.97447,87.97,3.133333333,0.430477333,0.966666667
"36",36,0,0,0,5,0.95926,85.66,2.883333333,0.323731772,0.883333333
"37",37,0,1,2,0,0.99041,98.48,3.25,0.436666882,1
"38",38,0,1,2,1,0.988123,97.81,3.133333333,0.430477333,0.966666667
"39",39,0,1,2,2,0.92906,62.24,2.95,0.501692052,0.85
"40",40,0,1,2,3,0.90352,60.76,2.7,0.53042995,0.733333333
"41",41,0,1,2,4,0.90034,60.18,2.633333333,0.485961101,0.633333333
"42",42,0,1,2,0,0.88437,58.05,1.933333333,0.445948491,0.066666667
"43",43,0,0,2,0,0.99291,97.26,2.616666667,0.523730642,0.6
"44",44,0,0,2,1,0.99088,96.5,2.416666667,0.59065223,0.466666667
"45",45,0,0,2,2,0.9821,93.58,1.666666667,0.475382689,0
"46",46,0,0,2,3,0.96412,89.38,1.45,0.501692052,0
"47",47,0,0,2,4,0.96256,88.74,1.316666667,0.469101798,0
"48",48,0,0,2,5,0.94627,85.16,1.166666667,0.375823014,0
"49",49,0,2,2,0,0.97171,93.81,2.583333333,0.497167116,0.583333333
"50",50,0,2,2,1,0.90976,66.13,2.183333333,0.469101798,0.216666667
"51",51,0,2,2,2,0.89397,65.21,2.1,0.543061004,0.2
"52",52,0,2,2,3,0.86306,60.35,1.316666667,0.469101798,0
"53",53,0,2,2,4,0.85311,59.46,1.25,0.473894789,0.016666667
"54",54,0,2,2,5,0.8421,57.84,1.1,0.30253169,0
"55",55,1,1,1,0,0.96886,92.61,2.15,0.360084736,0.15
"56",56,1,1,1,1,0.94618,58.64,2.033333333,0.25819889,0.05
"57",57,1,1,1,2,0.93739,54.88,1.45,0.501692052,0
"58",58,1,1,1,3,0.90655,50.69,1.166666667,0.375823014,0
"59",59,1,1,1,4,0.8869,48.29,1.166666667,0.375823014,0
"60",60,1,1,1,0,0.85977,45.68,1.2,0.403375587,0
"61",61,1,2,1,0,0.96753,90.47,2.116666667,0.454419603,0.166666667
"62",62,1,2,1,1,0.96659,89.17,2.066666667,0.578328001,0.2
"63",63,1,2,1,2,0.93354,82.72,1.466666667,0.503097749,0
"64",64,1,2,1,3,0.89813,70.59,1.2,0.403375587,0
"65",65,1,2,1,4,0.87339,27.22,1.2,0.403375587,0
"66",66,1,2,1,5,0.80862,23.75,1.033333333,0.181020335,0
"67",67,1,0,1,0,0.99029,96.53,2.816666667,0.390204929,0.816666667
"68",68,1,0,1,1,0.97517,95.32,2.333333333,0.475382689,0.333333333
"69",69,1,0,1,2,0.9227,82.59,1.5,0.504219484,0
"70",70,1,0,1,3,0.91396,40.18,1.266666667,0.445948491,0
"71",71,1,0,1,4,0.90515,38.44,1.15,0.40442468,0.016666667
"72",72,1,0,1,5,0.88146,37.19,1.1,0.30253169,0
"73",73,1,1,0,0,0.96452,63.37,3.233333333,0.426521868,1
"74",74,1,1,0,1,0.93799,60.75,3.116666667,0.454419603,0.95
"75",75,1,1,0,2,0.91834,58.89,2.7,0.49745113,0.683333333
"76",76,1,1,0,3,0.87363,53.67,1.933333333,0.445948491,0.066666667
"77",77,1,1,0,4,0.85253,51.5,1.733333333,0.578328001,0.066666667
"78",78,1,1,0,0,0.7718,24.26,1.416666667,0.530163603,0.016666667
"79",79,1,2,0,0,0.92134,88.83,2.533333333,0.535729082,0.55
"80",80,1,2,0,1,0.91934,80.03,2.416666667,0.561223442,0.45
"81",81,1,2,0,2,0.90156,75.86,2.066666667,0.634239613,0.233333333
"82",82,1,2,0,3,0.76035,69.47,1.45,0.565235814,0.033333333
"83",83,1,2,0,4,0.75393,58.58,1.266666667,0.445948491,0
"84",84,1,2,0,5,0.73362,46.53,1.233333333,0.426521868,0
"85",85,1,0,0,0,0.98671,95.89,3.05,0.286711335,0.983333333
"86",86,1,0,0,1,0.97795,95.17,3.1,0.602255647,0.866666667
"87",87,1,0,0,2,0.86427,44,2.433333333,0.620734029,0.5
"88",88,1,0,0,3,0.889,21.36,1.8,0.514204998,0.05
