ParticipantID,Group,Selection Time (s),Selection No. of Clicks,Selected Layout,Shown Layout,CQ-H Score,CQ-M Score,CQ-L Score,QD-M Score,QD-L Score,R-0.2s Score,R-0.5s Score,R-1.0s Score
1,A,23.549,14,Top Left,Top Left,4,4,1,4,2,3,3,2
2,A,10.631,5,Bottom Right,Bottom Right,4,1,1,2,3,4,4,2
3,A,24.6,4,Top Left,Top Left,4,4,2,4,3,4,3,4
4,A,27.208,6,Top Right,Top Right,5,4,1,4,2,3,3,3
5,A,17.205,6,Top Right,Top Right,4,3,1,4,2,4,3,3
6,A,12.841,1,Top Right,Top Right,4,3,2,4,2,3,3,2
7,A,30.028,5,Top Left,Top Left,4,2,1,4,3,2,3,2
8,A,14.26,4,Bottom Right,Bottom Right,4,3,2,3,2,4,3,3
9,A,22.142,3,Top Right,Top Right,4,3,1,3,2,4,4,3
10,A,20.151,3,Top Right,Top Right,5,4,2,4,2,4,4,3
11,A,19.013,5,Top Right,Top Right,5,5,1,5,3,3,2,2
12,A,22.325,10,Top Right,Top Right,5,2,1,3,2,4,4,4
13,A,24.253,5,Top Right,Top Right,3,3,1,4,4,3,3,3
14,A,24.174,10,Top Right,Top Right,5,4,2,4,3,4,3,4
15,A,15.656,3,Top Right,Top Right,4,4,2,3,2,4,4,3
16,A,13.124,1,Top Right,Top Right,4,3,1,4,2,3,3,2
17,A,31.714,6,Top Right,Top Right,4,4,1,4,2,4,3,3
18,A,25.955,9,Top Right,Top Right,4,2,1,3,2,3,3,3
19,A,24.701,7,Top Right,Top Right,4,2,1,2,2,2,2,2
20,A,22.301,1,Top Right,Top Right,4,3,3,4,1,3,2,2
21,A,23.089,7,Bottom Right,Bottom Right,4,4,2,4,2,3,3,3
22,A,27.12,8,Top Right,Top Right,5,2,1,3,1,3,3,3
23,A,25.386,4,Bottom Right,Bottom Right,4,2,1,2,2,4,3,3
24,A,16.335,6,Top Left,Top Left,4,2,1,4,2,3,4,4
25,A,6.77,4,Top Right,Top Right,4,4,1,4,2,3,4,3
26,A,40.659,9,Top Left,Top Left,4,3,1,3,2,4,4,4
27,A,23.534,2,Bottom Right,Bottom Right,5,3,1,3,2,4,4,4
28,A,29.319,10,Top Right,Top Right,5,5,1,5,2,3,2,2
29,A,15.639,9,Top Right,Top Right,5,4,2,3,3,4,3,2
30,A,27.601,10,Top Right,Top Right,4,3,1,3,1,3,2,2
